"Name","Username","UserPrincipalName","Department","Title","Company","Office","Enabled","Manager","Groups","OU"
"Edward Davis","edavis","edavis@corp.cyberlab.local","Executive","CEO","CyberLab Corporation","Denver, CO - HQ","True","","SG-Executive","OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Steven Allen","sallen","sallen@corp.cyberlab.local","Executive","COO","CyberLab Corporation","Denver, CO - HQ","True","Edward Davis","SG-Executive","OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Carlos Hall","chall","chall@corp.cyberlab.local","Executive","CFO","CyberLab Corporation","Denver, CO - HQ","True","Edward Davis","SG-Executive","OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Kenneth Davis","kdavis","kdavis@corp.cyberlab.local","Executive","Executive Assistant","CyberLab Corporation","Denver, CO - HQ","True","Edward Davis","SG-Executive","OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Donna Miller","dmiller","dmiller@corp.cyberlab.local","Information Technology","IT Director","CyberLab Corporation","Denver, CO - HQ","True","Steven Allen","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Carlos Carter","ccarter","ccarter@corp.cyberlab.local","Information Technology","Senior Systems Administrator","CyberLab Corporation","Denver, CO - HQ","True","Donna Miller","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Brian Lopez","blopez","blopez@corp.cyberlab.local","Information Technology","Systems Administrator","CyberLab Corporation","Denver, CO - HQ","True","Carlos Carter","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Edward Perez","eperez","eperez@corp.cyberlab.local","Information Technology","Cloud Support Specialist","CyberLab Corporation","Denver, CO - HQ","True","Carlos Carter","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Linda King","lking","lking@corp.cyberlab.local","Information Technology","Security Analyst","CyberLab Corporation","Denver, CO - HQ","True","Donna Miller","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Matthew Hill","mhill","mhill@corp.cyberlab.local","Information Technology","IAM Analyst","CyberLab Corporation","Denver, CO - HQ","True","Linda King","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Mark Smith","msmith","msmith@corp.cyberlab.local","Information Technology","Network Administrator","CyberLab Corporation","Denver, CO - HQ","True","Donna Miller","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Amara Hill","ahill","ahill@corp.cyberlab.local","Information Technology","Help Desk Technician","CyberLab Corporation","Denver, CO - HQ","True","Brian Lopez","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Lisa Martin","lmartin","lmartin@corp.cyberlab.local","Information Technology","Help Desk Technician","CyberLab Corporation","Denver, CO - HQ","True","Brian Lopez","SG-IT","OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Carlos Ramirez","cramirez","cramirez@corp.cyberlab.local","Finance","Finance Director","CyberLab Corporation","Denver, CO - HQ","True","Carlos Hall","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Steven Hernandez","shernandez","shernandez@corp.cyberlab.local","Finance","Senior Financial Analyst","CyberLab Corporation","Denver, CO - HQ","True","Carlos Ramirez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Thomas Taylor","ttaylor","ttaylor@corp.cyberlab.local","Finance","Financial Analyst","CyberLab Corporation","Denver, CO - HQ","True","Steven Hernandez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Brian Baker","bbaker","bbaker@corp.cyberlab.local","Finance","Payroll Analyst","CyberLab Corporation","Denver, CO - HQ","True","Carlos Ramirez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Carlos Miller","cmiller","cmiller@corp.cyberlab.local","Finance","Accounts Payable Specialist","CyberLab Corporation","Denver, CO - HQ","True","Carlos Ramirez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Steven Hall","shall","shall@corp.cyberlab.local","Finance","Accounts Receivable Specialist","CyberLab Corporation","Denver, CO - HQ","True","Carlos Ramirez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Kevin Mitchell","kmitchell","kmitchell@corp.cyberlab.local","Finance","Staff Accountant","CyberLab Corporation","Denver, CO - HQ","True","Steven Hernandez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Diego Clark","dclark","dclark@corp.cyberlab.local","Finance","Staff Accountant","CyberLab Corporation","Denver, CO - HQ","True","Steven Hernandez","SG-Finance","OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Anthony Garcia","agarcia","agarcia@corp.cyberlab.local","Human Resources","HR Director","CyberLab Corporation","Denver, CO - HQ","True","Steven Allen","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Andrew Anderson","aanderson","aanderson@corp.cyberlab.local","Human Resources","HR Business Partner","CyberLab Corporation","Denver, CO - HQ","True","Anthony Garcia","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Mark Carter","mcarter","mcarter@corp.cyberlab.local","Human Resources","Recruiter","CyberLab Corporation","Denver, CO - HQ","True","Anthony Garcia","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Priya Mitchell","pmitchell","pmitchell@corp.cyberlab.local","Human Resources","Benefits Specialist","CyberLab Corporation","Denver, CO - HQ","True","Anthony Garcia","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Fatima Lee","flee","flee@corp.cyberlab.local","Human Resources","HR Generalist","CyberLab Corporation","Denver, CO - HQ","True","Andrew Anderson","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Ashley Perez","aperez","aperez@corp.cyberlab.local","Human Resources","Training Coordinator","CyberLab Corporation","Denver, CO - HQ","True","Andrew Anderson","SG-HR","OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Emily Wright","ewright","ewright@corp.cyberlab.local","Marketing","Marketing Director","CyberLab Corporation","Denver, CO - HQ","True","Steven Allen","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Elizabeth Jones","ejones","ejones@corp.cyberlab.local","Marketing","Digital Marketing Manager","CyberLab Corporation","Denver, CO - HQ","True","Emily Wright","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Steven Johnson","sjohnson","sjohnson@corp.cyberlab.local","Marketing","SEO Specialist","CyberLab Corporation","Remote","True","Elizabeth Jones","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Wei Perez","wperez","wperez@corp.cyberlab.local","Marketing","Marketing Coordinator","CyberLab Corporation","Denver, CO - HQ","True","Elizabeth Jones","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Patricia Thomas","pthomas","pthomas@corp.cyberlab.local","Marketing","Content Strategist","CyberLab Corporation","Denver, CO - HQ","True","Emily Wright","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Anthony Wilson","awilson","awilson@corp.cyberlab.local","Marketing","Graphic Designer","CyberLab Corporation","Denver, CO - HQ","True","Patricia Thomas","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Robert Martinez","rmartinez","rmartinez@corp.cyberlab.local","Marketing","Marketing Analyst","CyberLab Corporation","Denver, CO - HQ","True","Emily Wright","SG-Marketing","OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
