FirstName,LastName,Username,UserPrincipalName,Department,Title,Company,Office,ManagerUsername,Group,OU,Enabled
Edward,Davis,edavis,edavis@corp.cyberlab.local,Executive,CEO,CyberLab Corporation,"Denver, CO - HQ",,SG-Executive,"OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Steven,Allen,sallen,sallen@corp.cyberlab.local,Executive,COO,CyberLab Corporation,"Denver, CO - HQ",edavis,SG-Executive,"OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Carlos,Hall,chall,chall@corp.cyberlab.local,Executive,CFO,CyberLab Corporation,"Denver, CO - HQ",edavis,SG-Executive,"OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Kenneth,Davis,kdavis,kdavis@corp.cyberlab.local,Executive,Executive Assistant,CyberLab Corporation,"Denver, CO - HQ",edavis,SG-Executive,"OU=Users,OU=Executive,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Donna,Miller,dmiller,dmiller@corp.cyberlab.local,Information Technology,IT Director,CyberLab Corporation,"Denver, CO - HQ",sallen,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Carlos,Carter,ccarter,ccarter@corp.cyberlab.local,Information Technology,Senior Systems Administrator,CyberLab Corporation,"Denver, CO - HQ",dmiller,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Brian,Lopez,blopez,blopez@corp.cyberlab.local,Information Technology,Systems Administrator,CyberLab Corporation,"Denver, CO - HQ",ccarter,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Edward,Perez,eperez,eperez@corp.cyberlab.local,Information Technology,Cloud Support Specialist,CyberLab Corporation,"Denver, CO - HQ",ccarter,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Linda,King,lking,lking@corp.cyberlab.local,Information Technology,Security Analyst,CyberLab Corporation,"Denver, CO - HQ",dmiller,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Matthew,Hill,mhill,mhill@corp.cyberlab.local,Information Technology,IAM Analyst,CyberLab Corporation,"Denver, CO - HQ",lking,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Mark,Smith,msmith,msmith@corp.cyberlab.local,Information Technology,Network Administrator,CyberLab Corporation,"Denver, CO - HQ",dmiller,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Amara,Hill,ahill,ahill@corp.cyberlab.local,Information Technology,Help Desk Technician,CyberLab Corporation,"Denver, CO - HQ",blopez,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Lisa,Martin,lmartin,lmartin@corp.cyberlab.local,Information Technology,Help Desk Technician,CyberLab Corporation,"Denver, CO - HQ",blopez,SG-IT,"OU=Users,OU=Informaton Technology,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
